element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,10,"=""""","=""""","=""0.936157861""","=""0.000000003""","=""""","=""1.9731e+11""",AA,"=""0.00""","=""(10681959.1156)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.936169779""","=""0.000000003""","=""""","=""1.9698e+11""",AA,"=""0.00""","=""(10681823.127)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.948067037""","=""0.000000003""","=""""","=""3.4381e+11""",AA,"=""0.00""","=""(10547777.331)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.948088161""","=""0.000000003""","=""""","=""3.4331e+11""",AA,"=""0.00""","=""(10547542.316)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.970802754""","=""0.000000003""","=""""","=""6.8198e+11""",AA,"=""0.00""","=""(10300753.643)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.970846021""","=""0.000000003""","=""""","=""6.8127e+11""",AA,"=""0.00""","=""(10300294.573)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""1.023848727""","=""0.000000004""","=""""","=""1.6726e+12""",AA,"=""0.00""","=""(9767067.862)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""1.023962821""","=""0.000000004""","=""""","=""1.6722e+12""",AA,"=""0.00""","=""(9765979.58)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,9,"=""""","=""""","=""1.0640263""","=""0.0000008""","=""""","=""3.01e+11""",AA,"=""0.0""","=""(9398263.8)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.0642433""","=""0.0000008""","=""""","=""2.067e+08""",AA,"=""0.0""","=""(9396347.5)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.0764398""","=""0.0000008""","=""""","=""5.20e+11""",AA,"=""0.0""","=""(9289882.9)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.0768263""","=""0.0000008""","=""""","=""3.52e+08""",AA,"=""0.0""","=""(9286549.2)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.1000478""","=""0.0000009""","=""""","=""1.024e+12""",AA,"=""0.0""","=""(9090513.9)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.1008459""","=""0.0000009""","=""""","=""6.84e+08""",AA,"=""0.0""","=""(9083923.3)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.1546793""","=""0.0000010""","=""""","=""2.478e+12""",AA,"=""0.0""","=""(8660413.0)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.1568202""","=""0.0000010""","=""""","=""1.604e+09""",AA,"=""0.0""","=""(8644385.7)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",,"=""T7543""","=""""",
Ne,8,"=""1.160""","=""0.008""","=""1.159""","=""0.008""","=""""","=""""",,"=""[1135327.7]""","=""9760000?""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s.3p2""","=""2P""","=""3/2""",,"=""""","=""L9090u58,L2604""",
Ne,8,"=""1.1905""","=""0.0005""","=""1.1903""","=""0.0007""","=""900bl*""","=""""",,"=""0.0""","=""8401000?""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""""",,"=""""","=""L9090u58,L1845""",
Ne,8,"=""1.1905""","=""0.0005""","=""1.1905""","=""0.0008""","=""900bl*""","=""""",,"=""128149.4""","=""8528000?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L9090u58,L1845""",
Ne,8,"=""1.1905""","=""0.0005""","=""1.1907""","=""0.0008""","=""900bl*""","=""""",,"=""129797.8""","=""8528000?""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L9090u58,L1845""",
Ne,8,"=""1.1905""","=""0.0005""","=""1.19107""","=""0.00021""","=""900bl*""","=""""",,"=""0.0""","=""8395800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""4P*""","=""""",,"=""""","=""L9090u58,L1845""",
Ne,8,"=""1.1930""","=""0.0010""","=""1.1933""","=""0.0008""","=""1500bl*""","=""""",,"=""128149.4""","=""8508000""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2D""","=""""",,"=""""","=""L9090u58,L9276""",
Ne,8,"=""1.1930""","=""0.0010""","=""1.1936""","=""0.0008""","=""1500bl*""","=""""",,"=""129797.8""","=""8508000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""""",,"=""""","=""L9090u58,L9276""",
Ne,10,"=""""","=""""","=""1.213207793""","=""0.000000006""","=""""","=""6.2608e+12""",AA,"=""0.00""","=""(8242611.0852)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""1.213748609""","=""0.000000006""","=""""","=""6.2725e+12""",AA,"=""0.00""","=""(8238938.384)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ne,8,"=""1.246""","=""0.004""","=""1.246""","=""0.004""","=""600""","=""""",,"=""(7192195)""","=""15220000?""","=""1s.2s2""","=""2S""","=""1/2""","=""2s2.2p""","=""2P*""","=""3/2""",,"=""""","=""L9090u58,L2916""",
Ne,9,"=""""","=""""","=""1.3447302""","=""0.0000007""","=""""","=""8.85e+12""",AA,"=""0.0""","=""(7436435.990)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,"=""T7543""","=""""",
Ne,8,"=""1.3469""","=""0.0005""","=""1.3470""","=""0.0005""","=""1200*""","=""""",,"=""[1147347]""","=""8571000""","=""1s2.3d""","=""2D""","=""3/2""","=""1s.2p.(1P*).3d""","=""2F*""","=""""",,"=""""","=""L9090u58,L23148""",
